allocation_id,indexer,created_at_epoch,grt_allocated
0x1302c00d03771aa966caa3c5f988287bfa303d86,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,3613.83
0xda0e84f7b180d94458ce852938dcb6bfecefe742,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,3588.09
0x7b114f9891e6948ed99a3c6df2baf06c6f4b311f,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,3161.53
0x98ae447da6a3cc9c3cae5b1752a7b8396f3df778,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,3000.00
0x7ae4028c0e4c9dc8693d8527e68bcc8987e6fe82,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,3000.00
0x10225a76466c846aee73ed587bfa43fbccf497da,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,2815.33
0x674c5a1f948a57e8f61554ee3e90f750eb924453,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,2803.77
0xd88a87b7c66d6f603d15c0ef89c71ca1f5859a3a,0x0a015d9e17d3978164486473a2ddbb654418db07,1189,2548.73
0xe52fdcdd8de7bce0d45d70d99bf5bdd5eee51c41,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,2243.60
0x0b5c9f8468c2d138fc08ed4bf93c8d0614eb2ef7,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,2106.47
0x1603611eddb7d0df32f6519341f4eb743937e1a6,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1807.07
0xc4f5725204198af8450f4843996aaf92df772f6d,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1751.00
0x13b443441f9cc45c4bacc75e2b2f216fd31780e4,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1702.62
0xea7c52654f9a7856a7cac9a3c3e05f1d7c0a26f0,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1619.70
0xc23e45df92c3583ad398b993575dfe3f28bd5336,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1411.83
0xf08145d01a03833329820df09da05084c31073b6,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1410.73
0x0223ac0734dcc1de48b97bc5ae295c44ee766bc7,0x0a015d9e17d3978164486473a2ddbb654418db07,1189,1335.39
0x4cdca4b7925f90337d66e8975de2d6c8ab09dd43,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1156.24
0xedaa85f9479b66596508bf15899e31316f5dce42,0x0a015d9e17d3978164486473a2ddbb654418db07,1194,1116.16
0x9d32c9db87b6b307d790b9a9ea0362ce716a2ecb,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1210,1001.00
